,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
216,PHI,2022-23,1627863
217,ORL,2022-23,1631216
218,HOU,2022-23,1631309
219,SAC,2022-23,1628989
220,WAS,2022-23,1630643
221,ATL,2022-23,1629631
222,TOT,2022-23,1630538
223,MIL,2022-23,201586
224,GSW,2022-23,2738
225,MIL,2022-23,204060
226,NOP,2022-23,1627742
227,TOT,2022-23,202681
228,ORL,2022-23,1628371
229,DET,2022-23,1631093
230,UTA,2022-23,1628402
231,IND,2022-23,1630543
232,BOS,2022-23,1628382
233,WAS,2022-23,1631245
234,TOT,2022-23,202704
235,MEM,2022-23,1628991
236,LAL,2022-23,2544
237,MEM,2021-22,1629610
238,GSW,2022-23,1629660
239,OKC,2022-23,1630198
240,SAS,2022-23,1628993
241,TOT,2022-23,1629661
242,ATL,2022-23,1630552
243,IND,2022-23,201949
244,SAS,2022-23,1629640
245,POR,2022-23,1630553
246,SAS,2022-23,1626169
247,DEN,2022-23,203999
248,CHI,2022-23,1630637
249,TOT,2022-23,1627745
250,NOP,2022-23,1630529
251,CHA,2022-23,1630539
252,SAS,2022-23,1630200
253,MEM,2022-23,1626145
254,CHI,2022-23,1627884
255,DEN,2022-23,201599
256,DET,2022-23,202709
257,MIA,2022-23,1631107
258,UTA,2022-23,1630548
259,BOS,2022-23,1629662
260,TOT,2022-23,1626163
261,NYK,2022-23,1631211
262,TOT,2022-23,1628379
263,UTA,2022-23,1631117
264,DET,2022-23,1630296
265,PHI,2022-23,1629663
266,WAS,2022-23,1630557
267,DAL,2022-23,1628467
268,MIN,2022-23,1630233
269,TOT,2022-23,1628995
270,TOR,2022-23,1631132
271,MEM,2022-23,1629723
272,PHI,2022-23,1627788
273,BOS,2022-23,1628436
274,ATL,2022-23,1630249
275,GSW,2022-23,1630228
276,WAS,2022-23,1628398
277,MEM,2022-23,1631222
278,CHI,2022-23,203897
279,GSW,2022-23,1630237
280,PHX,2022-23,1629111
281,SAS,2022-23,1629641
282,TOT,2022-23,1630639
283,CLE,2022-23,1627747
284,PHX,2022-23,1627814
285,TOT,2022-23,1630240
286,SAC,2022-23,203458
287,LAC,2022-23,202695
288,MIL,2022-23,203086
289,NOP,2022-23,1630184
290,POR,2022-23,203081
291,POR,2022-23,1629642
292,DET,2022-23,1630587
293,MEM,2022-23,1631254
294,GSW,2022-23,1626172
295,MIL,2022-23,201572
296,CLE,2022-23,201577
297,TOT,2022-23,201567
298,MIA,2022-23,200768
299,SAC,2022-23,1626168
300,CHA,2022-23,1630177
301,TOT,2022-23,1630572
302,LAC,2022-23,1629611
303,OKC,2022-23,1630544
304,HOU,2022-23,1626246
305,UTA,2022-23,1628374
306,NOP,2022-23,1630230
307,MIA,2022-23,1628997
308,CHA,2022-23,1628998
309,ATL,2022-23,1631213
310,HOU,2022-23,1630231
311,TOT,2022-23,1629726
312,IND,2022-23,1631097
313,MIL,2022-23,202083
314,PHI,2022-23,1630178
315,NYK,2022-23,1630540
316,PHI,2022-23,1630644
317,NOP,2022-23,203468
318,IND,2022-23,204456
319,MIN,2022-23,1630183
320,TOT,2022-23,1629667
321,SAS,2022-23,203926
322,DAL,2022-23,201580
323,CHA,2022-23,1631121
324,DET,2022-23,203585
325,MIN,2022-23,1629162
326,PHI,2022-23,1629001
327,CLE,2022-23,1630241
328,SAC,2022-23,1629002
329,MIL,2022-23,203114
330,BKN,2022-23,201988
331,PHI,2022-23,1629003
332,MIN,2022-23,1631169
333,SAC,2022-23,1630558
334,CLE,2022-23,1628378
335,CLE,2022-23,1630596
336,CLE,2022-23,1630600
337,SAC,2022-23,1631320
338,SAC,2022-23,1628370
339,GSW,2022-23,1630541
340,LAC,2022-23,1629875
341,MIN,2022-23,1631111
342,MEM,2022-23,1629630
343,TOT,2022-23,202693
344,WAS,2022-23,1628420
345,LAC,2022-23,202694
346,NOP,2022-23,1630530
347,ATL,2022-23,1627749
348,DEN,2022-23,1627750
349,SAC,2022-23,1631099
350,TOT,2022-23,203488
351,TOT,2022-23,1629004
352,NOP,2022-23,1626204
353,IND,2022-23,1629614
354,IND,2022-23,1630174
355,CLE,2022-23,203526
356,PHI,2022-23,1627777
357,HOU,2022-23,1630227
358,DEN,2022-23,1630192
359,TOT,2022-23,203457
360,MIN,2022-23,1629669
361,DAL,2022-23,1628373
362,TOT,2022-23,1629134
363,POR,2022-23,203994
364,TOT,2022-23,1629670
365,BKN,2022-23,1626220
366,ORL,2022-23,1629643
367,PHX,2022-23,1629006
368,ATL,2022-23,1630168
369,CLE,2022-23,1630171
370,SAC,2022-23,1629644
371,MIA,2022-23,203506
372,UTA,2022-23,203482
373,TOT,2022-23,1630647
374,CLE,2022-23,1626224
375,CHA,2022-23,1626162
376,PHX,2022-23,101108
377,PHX,2022-23,1626166
378,TOT,2022-23,1627780
379,DAL,2022-23,1629033
380,LAL,2022-23,1630590
381,TOT,2022-23,203486
382,TOT,2022-23,1627751
383,OKC,2022-23,1630197
384,GSW,2022-23,1629673
385,HOU,2022-23,1629645
386,DEN,2022-23,1629008
387,TOR,2022-23,203490
388,MIL,2022-23,1626171
389,WAS,2022-23,204001
390,UTA,2022-23,1630695
391,DAL,2022-23,203939
392,LAC,2022-23,1626181
393,LAC,2022-23,1630554
394,SAS,2022-23,1630563
395,MIN,2022-23,1627752
396,BOS,2022-23,1630202
397,IND,2022-23,1630243
398,SAC,2022-23,1629674
399,NYK,2022-23,1630193
400,GSW,2022-23,1631311
401,NYK,2022-23,203944
402,LAL,2022-23,1630559
403,TOT,2022-23,1629629
404,TOT,2022-23,1628432
405,PHI,2022-23,1630194
406,MIN,2022-23,1629675
407,DET,2022-23,1631197
408,CHA,2022-23,1630208
409,TOT,2022-23,1626196
410,MIN,2022-23,203085
411,MIA,2022-23,1629130
412,NYK,2022-23,1629011
413,MIA,2022-23,1631115
414,OKC,2022-23,1630526
415,SAS,2022-23,1629676
416,MEM,2022-23,1631223
417,GSW,2022-23,1631157
418,NYK,2022-23,201565
419,TOT,2022-23,203082
420,CHA,2022-23,1626179
421,CLE,2022-23,201937
422,TOT,2022-23,1626156
423,TOT,2022-23,1630346
424,SAC,2022-23,1627734
425,TOT,2022-23,203967
426,OKC,2022-23,1630846
427,WAS,2022-23,1630648
428,ORL,2022-23,1629678
429,LAL,2022-23,203471
430,NOP,2022-23,1631220
431,HOU,2022-23,1630578
432,UTA,2022-23,1629012
433,PHX,2022-23,1629013
434,BKN,2022-23,1630549
435,POR,2022-23,1631101
436,TOR,2022-23,1627783
437,DAL,2022-23,1629735
438,BKN,2022-23,1627732
439,CHI,2022-23,1630250
440,POR,2022-23,1629014
441,NYK,2022-23,1630579
442,BOS,2022-23,203935
443,TOT,2022-23,1630696
444,DEN,2022-23,202397
445,IND,2022-23,1630188
446,CHA,2022-23,1628372
447,HOU,2022-23,1631095
448,SAS,2022-23,1631110
449,PHI,2022-23,1630531
450,CLE,2022-23,1630205
451,DET,2022-23,1630191
452,MIA,2022-23,1629622
453,ORL,2022-23,1630591
454,BKN,2022-23,1628410
455,LAL,2022-23,1631306
456,HOU,2022-23,1630256
457,BOS,2022-23,1628369
458,TOT,2022-23,1630678
459,NOP,2022-23,202066
460,CHI,2022-23,1631207
461,IND,2022-23,1628464
462,BKN,2022-23,1630560
463,GSW,2022-23,202691
464,CHA,2022-23,1630550
465,TOT,2022-23,1629680
466,MEM,2022-23,1630214
467,WAS,2022-23,1630225
468,NYK,2022-23,1630167
469,TOT,2022-23,1629308
470,MIN,2022-23,1626157
471,TOR,2022-23,1629018
472,PHI,2022-23,200782
473,IND,2022-23,1626167
474,DET,2022-23,1630649
475,NOP,2022-23,202685
476,TOR,2022-23,1627832
477,TOT,2022-23,1629020
478,SAS,2022-23,1630170
479,MIA,2022-23,1629216
480,BOS,2022-23,203943
481,CHI,2022-23,202696
482,CLE,2022-23,1629731
483,ORL,2022-23,1630532
484,ORL,2022-23,1629021
485,PHX,2022-23,1630688
486,POR,2022-23,1631133
487,DAL,2022-23,202689
488,LAL,2022-23,1629022
489,LAC,2022-23,202322
490,TOT,2022-23,203933
491,CHA,2022-23,1629023
492,PHX,2022-23,1630613
493,HOU,2022-23,1631102
494,BKN,2022-23,1629139
495,OKC,2022-23,1630322
496,POR,2022-23,1630570
497,DEN,2022-23,1631212
498,SAS,2022-23,1631104
499,TOT,2022-23,201566
500,CHI,2022-23,1629632
501,BOS,2022-23,1628401
502,DEN,2022-23,1631298
503,TOR,2022-23,1630580
504,OKC,2022-23,1630598
505,GSW,2022-23,203952
506,MIL,2022-23,1629623
507,BKN,2022-23,1631214
508,ATL,2022-23,1631495
509,BOS,2022-23,1629684
510,OKC,2022-23,1631114
511,OKC,2022-23,1631119
512,OKC,2022-23,1629026
513,CHA,2022-23,1631109
514,CHI,2022-23,1630172
515,MEM,2022-23,1630533
516,BOS,2022-23,1629057
517,MEM,2022-23,1631246
518,NOP,2022-23,1629627
519,CLE,2022-23,1629685
520,POR,2022-23,1626159
521,TOT,2022-23,1630164
522,DAL,2022-23,1626174
523,WAS,2022-23,1626153
524,DAL,2022-23,1630593
525,TOR,2022-23,201152
526,ATL,2022-23,1629027
527,MIA,2022-23,1630209
528,MIA,2022-23,203469
529,LAC,2022-23,1627826
