,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,"{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203507}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203507}",,,,,,,,,,,,,,,
11,"{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628961}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628961}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628961}",,,,,,,,,,,,,,,,,,,,,,
12,"{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203648}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203648}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203648}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203648}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203648}",,,,,,,,,,,,,,,,,,,,
13,"{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630175}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630175}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630175}",,,,,,,,,,,,,,,,,,,,,,
14,"{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628384}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628384}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628384}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628384}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628384}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628384}",,,,,,,,,,,,,,,,,,,
15,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1627853}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1627853}",,,,,,,,,,,,,,,,,
16,"{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630166}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630166}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630166}",,,,,,,,,,,,,,,,,,,,,,
17,"{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629028}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629028}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629028}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629028}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1629028}",,,,,,,,,,,,,,,,,,,,
18,"{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628962}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628962}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628962}",,,,,,,,,,,,,,,,,,,,,,
19,"{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628963}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628963}",,,,,,,,,,,,,,,,,,
20,"{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631116}",,,,,,,,,,,,,,,,,,,,,,,,
21,"{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630163}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630163}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630163}",,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,"{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628366}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628366}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628366}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628366}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628366}",,,,,,,,,,,,,,,,,,,,
