,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
121,"{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631098}",,,,,,,,,,,,,,,,,,,,,,,,
122,"{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629056}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629056}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629056}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629056}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629056}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629056}",,,,,,,,,,,,,,,,,,,
123,"{'TEAM_ABBREVIATION': 'BOS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631120}",,,,,,,,,,,,,,,,,,,,,,,,
124,"{'TEAM_ABBREVIATION': 'HOU', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630620}",,,,,,,,,,,,,,,,,,,,,,,,
125,"{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2011-12', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201942}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2009-10', 'PLAYER_ID': 201942}",,,,,,,,,,,
126,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203473}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203473}",,,,,,,,
127,"{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203521}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203521}",,,,,,,,,,,,,,
128,"{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628978}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628978}",,,,,,,,,,,,,,,,,,
129,"{'TEAM_ABBREVIATION': 'LAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631217}",,,,,,,,,,,,,,,,,,,,,,,,
130,"{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629603}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629603}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629603}",,,,,,,,,,,,,,,,,,,,,,
131,"{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628977}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628977}",,,,,,,,,,,,,,,,,,
132,"{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203476}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203476}",,,,,,,,,,,
133,"{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631172}",,,,,,,,,,,,,,,,,,,,,,,,
134,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203915}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203915}",,,,,,,,,,,,
135,"{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629029}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629029}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629029}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629029}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1629029}",,,,,,,,,,,,,,,,,,,,
136,"{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628416}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628416}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628416}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628416}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628416}",,,,,,,,,,,,,,,,,,,,
137,"{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629652}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629652}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629652}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629652}",,,,,,,,,,,,,,,,,,,,,
138,"{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630245}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630245}",,,,,,,,,,,,,,,,,,,,,,,
139,"{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629653}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629653}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629653}",,,,,,,,,,,,,,,,,,,,,,
140,"{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630288}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630288}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630288}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630288}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630288}",,,,,,,,,,,,,,,,,,,,
141,"{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628408}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628408}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628408}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628408}","{'TEAM_ABBREVIATION': 'BOS', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628408}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628408}",,,,,,,,,,,,,,,,,,,
142,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'HOU', 'GROUP_VALUE': '2011-12', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'HOU', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2009-10', 'PLAYER_ID': 201609}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2008-09', 'PLAYER_ID': 201609}",,
143,"{'TEAM_ABBREVIATION': 'CHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203083}","{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 203083}",,,,,,,,
144,"{'TEAM_ABBREVIATION': 'IND', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630537}","{'TEAM_ABBREVIATION': 'IND', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630537}",,,,,,,,,,,,,,,,,,,,,,,
145,"{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630561}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630561}",,,,,,,,,,,,,,,,,,,,,,,
146,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2011-12', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2009-10', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2008-09', 'PLAYER_ID': 201142}","{'TEAM_ABBREVIATION': 'SEA', 'GROUP_VALUE': '2007-08', 'PLAYER_ID': 201142}",,,,,,,,
147,"{'TEAM_ABBREVIATION': 'DET', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631105}",,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,
149,"{'TEAM_ABBREVIATION': 'HOU', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631106}",,,,,,,,,,,,,,,,,,,,,,,,
150,"{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630162}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630162}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630162}",,,,,,,,,,,,,,,,,,,,,,
151,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630556}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630556}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630556}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630556}",,,,,,,,,,,,,,,,,,,,,
152,"{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629604}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629604}",,,,,,,,,,,,,,,,,,,,,,,
153,"{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631165}",,,,,,,,,,,,,,,,,,,,,,,,
154,"{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203954}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203954}",,,,,,,,,,,,,,,,,,
155,"{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629234}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1629234}",,,,,,,,,,,,,,,,,,
156,"{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2011-12', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 202324}","{'TEAM_ABBREVIATION': 'NJN', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 202324}",,,,,,,,,,,
