,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
222,MIA,2022-23,2617
223,BOS,2022-23,1630573
224,NOP,2022-23,1629637
225,DET,2022-23,1630165
226,CHA,2022-23,202330
227,TOR,2022-23,1627823
228,NOP,2022-23,1626195
229,MIA,2022-23,1629639
230,IND,2022-23,1627741
231,MIA,2022-23,1629312
232,TOT,2022-23,201588
233,CHI,2022-23,1630792
234,IND,2021-22,1630207
235,ATL,2022-23,1628988
236,MIL,2022-23,201950
237,TOT,2022-23,203200
238,SAC,2022-23,1626158
239,,,0
240,BOS,2022-23,201143
241,UTA,2022-23,1629659
242,PHI,2022-23,1627863
243,ORL,2022-23,1631216
244,HOU,2022-23,1631309
245,SAC,2022-23,1628989
246,WAS,2022-23,1630643
247,NYK,2021-22,1630624
248,ATL,2022-23,1629631
249,,,0
250,TOT,2022-23,1630538
251,MIL,2022-23,201586
252,GSW,2022-23,2738
253,MIL,2022-23,204060
254,NOP,2022-23,1627742
255,TOT,2022-23,202681
256,ORL,2022-23,1628371
257,DET,2022-23,1631093
258,IND,2022-23,1630543
259,TOT,2021-22,1628367
260,BOS,2022-23,1628382
261,WAS,2022-23,1631245
262,TOT,2022-23,202704
263,MEM,2022-23,1628991
264,LAL,2022-23,2544
265,MEM,2021-22,1629610
266,,,0
267,GSW,2022-23,1629660
268,OKC,2022-23,1630198
269,SAS,2022-23,1628993
270,TOT,2022-23,1629661
271,ATL,2022-23,1630552
272,IND,2022-23,201949
273,SAS,2022-23,1629640
274,POR,2022-23,1630553
275,SAS,2022-23,1626169
276,DEN,2022-23,203999
277,CHI,2022-23,1630637
278,TOT,2022-23,1627745
279,NOP,2022-23,1630529
280,CHA,2022-23,1630539
281,SAS,2022-23,1630200
282,MEM,2022-23,1626145
283,CHI,2022-23,1627884
284,DEN,2022-23,201599
285,DET,2022-23,202709
286,MIA,2022-23,1631107
287,UTA,2022-23,1630548
288,BOS,2022-23,1629662
289,TOT,2022-23,1626163
290,NYK,2022-23,1631211
291,TOT,2022-23,1628379
292,UTA,2022-23,1631117
293,DET,2022-23,1630296
294,,,0
295,WAS,2022-23,1630557
296,DAL,2022-23,1628467
297,MIN,2022-23,1630233
298,TOT,2022-23,1628995
299,TOR,2022-23,1631132
300,MEM,2022-23,1629723
301,PHI,2022-23,1627788
302,BOS,2022-23,1628436
303,ATL,2022-23,1630249
304,GSW,2022-23,1630228
305,WAS,2022-23,1628398
306,MEM,2022-23,1631222
307,CHI,2022-23,203897
308,GSW,2022-23,1630237
309,PHX,2022-23,1629111
310,SAS,2022-23,1629641
311,TOT,2022-23,1630639
312,MIN,2021-22,1627774
313,CLE,2022-23,1627747
314,PHX,2022-23,1627814
315,SAC,2022-23,203458
316,LAC,2022-23,202695
317,,,0
318,NOP,2022-23,1630184
319,POR,2022-23,203081
320,POR,2022-23,1629642
321,DET,2022-23,1630587
322,MEM,2022-23,1631254
323,GSW,2022-23,1626172
324,MIL,2022-23,201572
325,CLE,2022-23,201577
326,TOT,2022-23,201567
327,MIA,2022-23,200768
328,ATL,2021-22,1627789
329,SAC,2022-23,1626168
330,,,0
331,TOT,2022-23,1630572
332,LAC,2022-23,1629611
333,OKC,2022-23,1630544
334,HOU,2022-23,1626246
335,UTA,2022-23,1628374
336,NOP,2022-23,1630230
337,MIA,2022-23,1628997
338,CHA,2022-23,1628998
339,TOT,2021-22,1629103
340,ATL,2022-23,1631213
341,HOU,2022-23,1630231
342,TOT,2022-23,1629726
343,IND,2022-23,1631097
344,MIL,2022-23,202083
345,PHI,2022-23,1630178
346,POR,2022-23,1630219
347,NYK,2022-23,1630540
348,NOP,2022-23,203468
349,IND,2022-23,204456
350,MIN,2022-23,1630183
351,TOT,2022-23,1629667
352,SAS,2022-23,203926
353,MEM,2020-21,1630253
354,DAL,2022-23,201580
355,CHA,2022-23,1631121
356,DET,2022-23,203585
357,MIN,2022-23,1629162
358,PHI,2022-23,1629001
359,CLE,2022-23,1630241
360,SAC,2022-23,1629002
361,MIL,2022-23,203114
362,,,0
363,BKN,2022-23,201988
364,PHI,2022-23,1629003
365,MIN,2022-23,1631169
366,SAC,2022-23,1630558
367,CLE,2022-23,1628378
368,,,0
369,CLE,2022-23,1630596
370,CLE,2022-23,1630600
371,SAC,2022-23,1631320
372,SAC,2022-23,1628370
373,GSW,2022-23,1630541
374,LAC,2022-23,1629875
375,MIN,2022-23,1631111
376,MEM,2022-23,1629630
377,TOT,2022-23,202693
378,WAS,2022-23,1628420
379,LAC,2022-23,202694
380,TOT,2021-22,1628539
381,NOP,2022-23,1630530
382,ATL,2022-23,1627749
383,DEN,2022-23,1627750
384,SAC,2022-23,1631099
385,TOT,2022-23,203488
386,TOT,2022-23,1629004
387,NOP,2022-23,1626204
388,IND,2022-23,1629614
389,CLE,2021-22,1630612
390,IND,2022-23,1630174
391,CLE,2022-23,203526
392,PHI,2022-23,1627777
393,HOU,2022-23,1630227
394,DEN,2022-23,1630192
395,TOT,2022-23,203457
396,MIN,2022-23,1629669
397,DAL,2022-23,1628373
398,TOT,2022-23,1629134
399,POR,2022-23,203994
400,HOU,2021-22,1628021
401,TOT,2022-23,1629670
402,BKN,2022-23,1626220
403,ORL,2022-23,1629643
404,PHX,2022-23,1629006
405,ATL,2022-23,1630168
406,CLE,2022-23,1630171
407,SAC,2022-23,1629644
408,MIA,2022-23,203506
409,UTA,2022-23,203482
410,TOT,2022-23,1630647
411,CLE,2022-23,1626224
412,CHA,2022-23,1626162
413,UTA,2021-22,1629672
414,PHX,2022-23,101108
415,PHX,2022-23,1626166
416,TOT,2022-23,1627780
417,DET,2021-22,1630691
418,,,0
419,DAL,2022-23,1629033
420,LAL,2022-23,1630590
421,,,0
422,TOT,2022-23,203486
423,TOT,2022-23,1627751
424,OKC,2022-23,1630197
425,GSW,2022-23,1629673
426,HOU,2022-23,1629645
427,DEN,2022-23,1629008
428,TOR,2022-23,203490
429,MIL,2022-23,1626171
430,WAS,2022-23,204001
431,DAL,2022-23,203939
432,LAC,2022-23,1626181
433,LAC,2022-23,1630554
434,SAS,2022-23,1630563
435,MIN,2022-23,1627752
436,BOS,2022-23,1630202
437,SAC,2022-23,1629674
438,NYK,2022-23,1630193
439,GSW,2022-23,1631311
440,ORL,2020-21,1626184
441,NYK,2022-23,203944
442,LAL,2022-23,1630559
443,TOT,2022-23,1629629
444,TOT,2022-23,1628432
445,PHI,2022-23,1630194
446,MIN,2022-23,1629675
447,DET,2022-23,1631197
448,CHA,2022-23,1630208
449,TOT,2022-23,1626196
450,MIN,2022-23,203085
451,MIA,2022-23,1629130
452,WAS,2020-21,1629010
453,NYK,2022-23,1629011
454,MIA,2022-23,1631115
455,OKC,2022-23,1630526
456,SAS,2022-23,1629676
457,MEM,2022-23,1631223
458,GSW,2022-23,1631157
459,NYK,2022-23,201565
460,TOT,2022-23,203082
461,CHA,2022-23,1626179
462,CLE,2022-23,201937
463,TOT,2022-23,1626156
464,TOT,2022-23,1630346
465,SAC,2022-23,1627734
466,TOT,2022-23,203967
467,OKC,2022-23,1630846
468,WAS,2022-23,1630648
469,ORL,2022-23,1629678
470,LAL,2022-23,203471
471,ORL,2022-23,1630206
472,NOP,2022-23,1631220
473,HOU,2022-23,1630578
474,UTA,2022-23,1629012
475,PHX,2022-23,1629013
476,BKN,2022-23,1630549
477,POR,2022-23,1631101
478,TOR,2022-23,1627783
479,BKN,2022-23,1627732
480,CHI,2022-23,1630250
481,POR,2022-23,1629014
482,,,0
483,NYK,2022-23,1630579
484,DET,2021-22,1629686
485,TOT,2021-22,1630606
486,BOS,2022-23,203935
487,TOT,2022-23,1630696
488,DEN,2022-23,202397
489,IND,2022-23,1630188
490,CHA,2022-23,1628372
491,HOU,2022-23,1631095
492,CHA,2022-23,1630270
493,SAS,2022-23,1631110
494,,,0
495,PHI,2022-23,1630531
496,CLE,2022-23,1630205
497,,,0
498,DET,2022-23,1630191
499,MIA,2022-23,1629622
